Team Name
Airball Architects
Bench Warmers United
Brick City Ballers
Couch Coaches
Dribble My Nizzle
Fantasy Foul Trouble
The Backboard Bandits
Rimshot Society
Shot Clock Violators
Game of Zones
The Traveling Violations
No Look Passholes
Offseason Champs
Pump Fake Enthusiasts
Rebound Therapy
Slam Dunk Dysfunction
Technical Foul Committee
The Timeout Abusers
Free Throw Fugitives
Zero Assist Crew
Net Losses
Ball Don’t Lie Institute
Pick-and-Roll Patrol
Bench Mob Mafia
Court Jesters
Fantasy Fraud Squad
Hoop There It Is
Overtime Orphans
Turnover Titans
Late Game Lads
The Bricklayers Union
Shot Selection Society
Triple Double Vision
No Handles Club
Iso Addiction
Traveling Circus
Fourth Quarter Fumblers
The Rebound Rebellion
Fantasy Fines Fund
Fastbreak Flunkies
Hot Garbage Hoopsters
The Midrange Myth
Free Throw Philosophers
Hoop Hypocrites
Stat Sheet Stumblers
Half-Court Hustlers
Timeout Tax Evasion
Fantasy Fumble Factory
The Rim Jobs
Buzzer Beater Bureau
Ball Movement Denied
Aaron's Amazing Team
Ben's Bold Team
Carla's Courageous Team
David's Daring Team
Ella's Electric Team
Frank's Fearless Team
Grace's Glorious Team
Hannah's Heroic Team
Ian's Incredible Team
Jack's Jubilant Team
Kelly's Keen Team
Liam's Legendary Team
Mia's Mighty Team
Noah's Noble Team
Olivia's Outstanding Team
Paul's Powerful Team
Quinn's Quick Team
Ryan's Remarkable Team
Sophia's Strong Team
Tom's Tenacious Team
Uma's Unstoppable Team
Vince's Victorious Team
Will's Winning Team
Xavier's Xtreme Team
Yara's Youthful Team
Zack's Zealous Team
Mitch's Majestic Team
Clara's Clever Team
Nate's Notorious Team
Owen's Optimistic Team
Emma's Energetic Team
Leo's Lively Team
Tara's Thrilling Team
Gabe's Gallant Team
Fiona's Fearless Team
Dylan's Dynamic Team
Hailey's Happy Team
Isaac's Iconic Team
Julia's Joyful Team
Kara's Kind Team
Luca's Lucky Team
Mason's Magnetic Team
Nina's Neat Team
Oscar's Original Team
Piper's Playful Team
Riley's Radiant Team
Sasha's Stellar Team
Theo's Trusty Team
Ulysses's Unbeatable Team
Vera's Vibrant Team
Wade's Witty Team
Zoe's Zesty Team
