GAME_ID,GAME_DATE,SEASON,STATUS,PERIOD,TIME,POSTSEASON,ARENA,CITY,STATE,HOME_TEAM_ID,HOME_TEAM_ABBREVIATION,HOME_TEAM_FULL_NAME,HOME_TEAM_SCORE,VISITOR_TEAM_ID,VISITOR_TEAM_ABBREVIATION,VISITOR_TEAM_FULL_NAME,VISITOR_TEAM_SCORE
15907438,2024-10-22,2024,Final,4,Final,False,,,,2,BOS,Boston Celtics,132,20,NYK,New York Knicks,109
15907439,2024-10-22,2024,Final,4,Final,False,,,,14,LAL,Los Angeles Lakers,110,18,MIN,Minnesota Timberwolves,103
15907440,2024-10-23,2024,Final,4,Final,False,,,,9,DET,Detroit Pistons,109,12,IND,Indiana Pacers,115
15907441,2024-10-23,2024,Final,4,Final,False,,,,1,ATL,Atlanta Hawks,120,3,BKN,Brooklyn Nets,116
15907442,2024-10-23,2024,Final,4,Final,False,,,,16,MIA,Miami Heat,97,22,ORL,Orlando Magic,116
15907443,2024-10-23,2024,Final,4,Final,False,,,,23,PHI,Philadelphia 76ers,109,17,MIL,Milwaukee Bucks,124
15907444,2024-10-23,2024,Final,4,Final,False,,,,28,TOR,Toronto Raptors,106,6,CLE,Cleveland Cavaliers,136
15907445,2024-10-23,2024,Final,4,Final,False,,,,11,HOU,Houston Rockets,105,4,CHA,Charlotte Hornets,110
15907446,2024-10-23,2024,Final,4,Final,False,,,,19,NOP,New Orleans Pelicans,123,5,CHI,Chicago Bulls,111
15907447,2024-10-23,2024,Final,4,Final,False,,,,29,UTA,Utah Jazz,124,15,MEM,Memphis Grizzlies,126
15907448,2024-10-23,2024,Final,5,Final,False,,,,13,LAC,LA Clippers,113,24,PHX,Phoenix Suns,116
15907449,2024-10-23,2024,Final,4,Final,False,,,,25,POR,Portland Trail Blazers,104,10,GSW,Golden State Warriors,139
15907450,2024-10-24,2024,Final,4,Final,False,,,,30,WAS,Washington Wizards,102,2,BOS,Boston Celtics,122
15907451,2024-10-24,2024,Final,4,Final,False,,,,7,DAL,Dallas Mavericks,120,27,SAS,San Antonio Spurs,109
15907452,2024-10-24,2024,Final,4,Final,False,,,,8,DEN,Denver Nuggets,87,21,OKC,Oklahoma City Thunder,102
15907453,2024-10-24,2024,Final,4,Final,False,,,,26,SAC,Sacramento Kings,115,18,MIN,Minnesota Timberwolves,117
15907454,2024-10-25,2024,Final,4,Final,False,,,,22,ORL,Orlando Magic,116,3,BKN,Brooklyn Nets,101
15907455,2024-10-25,2024,Final,4,Final,False,,,,28,TOR,Toronto Raptors,115,23,PHI,Philadelphia 76ers,107
15907456,2024-10-25,2024,Final,4,Final,False,,,,1,ATL,Atlanta Hawks,125,4,CHA,Charlotte Hornets,120
15907457,2024-10-25,2024,Final,4,Final,False,,,,6,CLE,Cleveland Cavaliers,113,9,DET,Detroit Pistons,101
15907458,2024-10-25,2024,Final,4,Final,False,,,,20,NYK,New York Knicks,123,12,IND,Indiana Pacers,98
15907459,2024-10-25,2024,Final,4,Final,False,,,,11,HOU,Houston Rockets,128,15,MEM,Memphis Grizzlies,108
15907460,2024-10-25,2024,Final,4,Final,False,,,,17,MIL,Milwaukee Bucks,122,5,CHI,Chicago Bulls,133
15907461,2024-10-25,2024,Final,4,Final,False,,,,29,UTA,Utah Jazz,86,10,GSW,Golden State Warriors,127
15907462,2024-10-25,2024,Final,4,Final,False,,,,14,LAL,Los Angeles Lakers,123,24,PHX,Phoenix Suns,116
15907463,2024-10-25,2024,Final,4,Final,False,,,,25,POR,Portland Trail Blazers,103,19,NOP,New Orleans Pelicans,105
15907464,2024-10-26,2024,Final,4,Final,False,,,,8,DEN,Denver Nuggets,104,13,LAC,LA Clippers,109
15907465,2024-10-26,2024,Final,4,Final,False,,,,4,CHA,Charlotte Hornets,106,16,MIA,Miami Heat,114
15907466,2024-10-26,2024,Final,4,Final,False,,,,9,DET,Detroit Pistons,118,2,BOS,Boston Celtics,124
15907467,2024-10-26,2024,Final,4,Final,False,,,,30,WAS,Washington Wizards,116,6,CLE,Cleveland Cavaliers,135
15907468,2024-10-26,2024,Final,4,Final,False,,,,5,CHI,Chicago Bulls,95,21,OKC,Oklahoma City Thunder,114
15907469,2024-10-26,2024,Final,4,Final,False,,,,15,MEM,Memphis Grizzlies,124,22,ORL,Orlando Magic,111
15907470,2024-10-26,2024,Final,4,Final,False,,,,18,MIN,Minnesota Timberwolves,112,28,TOR,Toronto Raptors,101
15907471,2024-10-26,2024,Final,4,Final,False,,,,27,SAS,San Antonio Spurs,109,11,HOU,Houston Rockets,106
15907472,2024-10-26,2024,Final,4,Final,False,,,,24,PHX,Phoenix Suns,114,7,DAL,Dallas Mavericks,102
15907473,2024-10-26,2024,Final,4,Final,False,,,,14,LAL,Los Angeles Lakers,131,26,SAC,Sacramento Kings,127
15907474,2024-10-27,2024,Final,5,Final,False,,,,12,IND,Indiana Pacers,114,23,PHI,Philadelphia 76ers,118
15907475,2024-10-27,2024,Final,4,Final,False,,,,3,BKN,Brooklyn Nets,115,17,MIL,Milwaukee Bucks,102
15907476,2024-10-27,2024,Final,4,Final,False,,,,25,POR,Portland Trail Blazers,125,19,NOP,New Orleans Pelicans,103
15907477,2024-10-27,2024,Final,4,Final,False,,,,21,OKC,Oklahoma City Thunder,128,1,ATL,Atlanta Hawks,104
15907478,2024-10-27,2024,Final,4,Final,False,,,,10,GSW,Golden State Warriors,104,13,LAC,LA Clippers,112
15907479,2024-10-28,2024,Final,4,Final,False,,,,22,ORL,Orlando Magic,119,12,IND,Indiana Pacers,115
15907480,2024-10-28,2024,Final,4,Final,False,,,,1,ATL,Atlanta Hawks,119,30,WAS,Washington Wizards,121
15907481,2024-10-28,2024,Final,4,Final,False,,,,2,BOS,Boston Celtics,119,17,MIL,Milwaukee Bucks,108
15907482,2024-10-28,2024,Final,4,Final,False,,,,16,MIA,Miami Heat,106,9,DET,Detroit Pistons,98
15907483,2024-10-28,2024,Final,4,Final,False,,,,20,NYK,New York Knicks,104,6,CLE,Cleveland Cavaliers,110
15907484,2024-10-28,2024,Final,5,Final,False,,,,28,TOR,Toronto Raptors,125,8,DEN,Denver Nuggets,127
15907485,2024-10-28,2024,Final,4,Final,False,,,,15,MEM,Memphis Grizzlies,123,5,CHI,Chicago Bulls,126
15907486,2024-10-28,2024,Final,4,Final,False,,,,27,SAS,San Antonio Spurs,101,11,HOU,Houston Rockets,106
15907487,2024-10-28,2024,Final,4,Final,False,,,,7,DAL,Dallas Mavericks,110,29,UTA,Utah Jazz,102
15907488,2024-10-28,2024,Final,4,Final,False,,,,24,PHX,Phoenix Suns,109,14,LAL,Los Angeles Lakers,105
15907489,2024-10-28,2024,Final,4,Final,False,,,,26,SAC,Sacramento Kings,111,25,POR,Portland Trail Blazers,98
15907490,2024-10-29,2024,Final,5,Final,False,,,,3,BKN,Brooklyn Nets,139,8,DEN,Denver Nuggets,144
15907491,2024-10-29,2024,Final,4,Final,False,,,,18,MIN,Minnesota Timberwolves,114,7,DAL,Dallas Mavericks,120
15907492,2024-10-29,2024,Final,4,Final,False,,,,29,UTA,Utah Jazz,96,26,SAC,Sacramento Kings,113
15907493,2024-10-29,2024,Final,4,Final,False,,,,10,GSW,Golden State Warriors,124,19,NOP,New Orleans Pelicans,106
15907494,2024-10-30,2024,Final,4,Final,False,,,,4,CHA,Charlotte Hornets,138,28,TOR,Toronto Raptors,133
15907495,2024-10-30,2024,Final,4,Final,False,,,,6,CLE,Cleveland Cavaliers,134,14,LAL,Los Angeles Lakers,110
15907496,2024-10-30,2024,Final,5,Final,False,,,,12,IND,Indiana Pacers,135,2,BOS,Boston Celtics,132
15907497,2024-10-30,2024,Final,4,Final,False,,,,23,PHI,Philadelphia 76ers,95,9,DET,Detroit Pistons,105
